Type,Entity,Product
FURNITURE,Bar,Bar Cabinets
FURNITURE,Bar,Bar Units
FURNITURE,Bar,Bar Trolleys
FURNITURE,Bar,Wine Racks
FURNITURE,Bar,Bar Sets
FURNITURE,Bar,Bar Chairs
FURNITURE,Bar,Bar Stools
FURNITURE,Bath,Bathroom Cabinets
FURNITURE,Bath,Bathroom Shelves
FURNITURE,Bed Room,Beds
FURNITURE,Bed Room,Bedside Tables
FURNITURE,Bed Room,Dressing Tables
FURNITURE,Bed Room,Bed Room Sets
FURNITURE,Bed Room,Cradles
FURNITURE,Bed Room,Modular Wardrobes
FURNITURE,Bed Room,Cupboards
FURNITURE,Bed Room,Chest of Drawers
FURNITURE,Bed Room,Bedside Tables
FURNITURE,Bed Room,Dressers & Mirrors
FURNITURE,Bed Room,Kids Storage
FURNITURE,Chairs,Wing Chairs
FURNITURE,Chairs,Accent Chairs
FURNITURE,Chairs,Arm Chairs
FURNITURE,Chairs,Rocking Chairs
FURNITURE,Chairs,Folding Chairs
FURNITURE,Chairs,Metal Chairs
FURNITURE,Chairs,Plastic Chairs
FURNITURE,Chairs,Ergonomic Chairs
FURNITURE,Chairs,Executive Chairs
FURNITURE,Dining,Dining Sets
FURNITURE,Dining,Dining Tables
FURNITURE,Dining,Dining Chairs
FURNITURE,Dining,Hutch Cabinets
FURNITURE,Finishing Touches,Pouffes
FURNITURE,Finishing Touches,Ottomans
FURNITURE,Finishing Touches,Stools
FURNITURE,Finishing Touches,Benches
FURNITURE,Finishing Touches,Magazine Racks
FURNITURE,Finishing Touches,Trunks and Boxes
FURNITURE,Garden & Patio,Seating Sets
FURNITURE,Garden & Patio,Dining Sets
FURNITURE,Garden & Patio,Swings
FURNITURE,Garden & Patio,Chairs
FURNITURE,Garden & Patio,Tables
FURNITURE,Garden & Patio,Lounges & Daybeds
FURNITURE,Garden & Patio,Canopies & Umbrellas
FURNITURE,General,Boxes
FURNITURE,General,Baskets
FURNITURE,General,Crates
FURNITURE,General,Shelves & Racks
FURNITURE,General,Trays
FURNITURE,General,Trunks 
FURNITURE,Living Room,Sofas & Sectionals
FURNITURE,Living Room,Recliners
FURNITURE,Living Room,Sofa Cum Beds
FURNITURE,Living Room,Futons
FURNITURE,Living Room,Settees & Lounges
FURNITURE,Living Room,Bean Bags
FURNITURE,Living Room,Living Room Sets
FURNITURE,Living Room,Storage Solutions
FURNITURE,Living Room,Wall Shelves
FURNITURE,Living Room,Prayer Units
FURNITURE,Living Room,Showcases
FURNITURE,Living Room,Entryway & Foyer
FURNITURE,Living Room,Corner Storage
FURNITURE,Study,Book Shelves
FURNITURE,Study,Book Cases
FURNITURE,Study,File Cabinets
FURNITURE,Study,Study & Laptop Tables
FURNITURE,Tables,Coffee Tables
FURNITURE,Tables,Coffee Table Sets
FURNITURE,Tables,Set Of Tables
FURNITURE,Tables,End Tables
FURNITURE,Tables,Console Tables
